brand,year,total_stores,new_open,terminate,cancel,transfer,avg_sales,area_sales
라드커피(LAD COFFEE),0,0,0,0,0,0,207200,6324
WINEBOW(와인보우),2023,4,6,0,2,0,107632,7175
초이진헤어,2023,3,0,0,0,0,0,0
육회한 감전통닭,0,0,0,0,0,0,163991,8227
민영활어공장,0,0,0,0,0,0,819844,56622
전국3대치킨 오성통닭,0,0,0,0,0,0,178933,11809
요거트월드,0,0,0,0,0,0,213650,16387
장금수부대찌개,0,0,0,0,0,0,192086,6435
숯불의 향기,2019,5,1,0,2,1,185739,4508
마이리틀프렌드,0,0,0,0,0,0,26793,1427
김스타치킨,2018,42,21,0,2,13,254202,9777
볼빨간아구찜,2023,7,1,3,0,0,143000,8044
묵향,0,0,0,0,0,0,156739,7836
배터리몬스터,0,0,0,0,0,0,72232,5296
잉글리시 브레인 스튜디오,0,0,0,0,0,0,42534,3946
하태준의 효자동닭꼬치,2023,14,13,0,4,0,1,0
냉삼회관,2023,20,11,0,0,0,351878,16917
돈불식당,0,0,0,0,0,0,154764,10318
고래국밥1980,2023,8,4,1,0,0,322000,15581
리츠펫(ritzpet),2023,7,5,1,0,1,67704,400
서울미트볼,0,0,0,0,0,0,316708,18564
루다와인상점,2023,8,4,0,1,0,84073,4929
국제쭈꾸미1981,2021,1,0,0,0,0,234385,8878
CROCRO (크로크로),2019,3,0,2,6,0,7,1
바소,2023,2,0,0,0,0,77861,6229
서가 김푸드 연수해물나라,0,0,0,0,0,0,841140,13995
맛없으면 환불해주는 장군집,2023,6,0,0,9,0,266542,26654
피아노리브레,2019,8,2,1,1,0,8,0
우리동네미미문방구,0,0,0,0,0,0,134456,12113
핸드메이드,0,0,0,0,0,0,1870,8
세탁풍경,0,0,0,0,0,0,10,0
석쇠꾼,0,0,0,0,0,0,2,62445
고집132,2023,8,6,0,1,0,778923,21045
감동식혜,2023,0,2,0,10,0,60983,0
귀품찬 국밥과 해장국,0,0,0,0,0,0,1,0
아메리칸트레이,0,0,0,0,0,0,229824,8337
토대력,2023,20,0,0,2,0,287848,9276
킥고잉(KICKGOING),0,0,0,0,0,0,41981,0
맛을그리다오상미,2020,13,13,0,0,0,365984,80516
케어마인심리상담&코칭센터,2023,0,0,0,0,0,1,1
즉석국물떡볶이 달쫀,0,0,0,0,0,0,148029,10080
돼지랑찌개랑,0,0,0,0,0,0,282239,12466
준오헤어,2022,2023,9,5,11,163,1524784,18500
오토큐(Auto Q),0,0,0,0,0,0,61,1066550
귀품찬 불백집,0,0,0,0,0,0,5,0
The 대단한커피,0,0,0,0,0,0,60853,5182
떡가대표,0,0,0,0,0,0,38827,3212
럭키세븐콜,2020,3660,709,266,3660,2021,3217,0
신나불고,2018,0,0,0,2,0,2,0
크린테크,2021,9,0,0,0,0,13,0
크렘드마롱,2021,2,2,0,0,0,2,1
꽉찬쌀통닭,0,0,0,0,0,0,134304,10810
크린플러스,2019,10,0,0,1,2,66297,5666
인기가요,2019,1,1,0,0,0,0,0
지니어스 뮤직 코리아,2019,1,1,0,0,0,0,0
바닷물만난콩이:두부야,2023,94,1,0,0,0,192946,15422
티팩토리912,2019,0,0,2,1,0,4,3
콩닥콩닭,0,0,0,0,0,0,12,1
찐하오 마라탕,0,0,0,0,0,0,320578,18173
망티커피,0,0,0,0,0,0,199727,8440
픽싸(PIXXA),2019,1,1,0,0,0,0,1
