brand,category,stores_22,stores_23,diff,avg_sales,area_sales,total_invest
치킨쥼,치킨,1,1,0,0,0,0
삼미대포,기타외식,4,4,0,0,0,27500
수향그릴면가여름도겨울,(,1,1,0,0,0,0
밥FULL,한식,5,5,0,0,0,14300
프랭크서울,"커피,",12,11,-1,73114,8452,20900
88켄터키치킨&떡볶이,치킨,11,10,-1,0,0,13000
블랙슈가,음료(커피,1,1,0,0,0,11000
쏘핫 마라탕 마라샹궈,중식,4,4,0,0,0,16500
바비큐BOX,바비큐,1,1,0,0,0,14300
포차세끼,주점,0,4,4,0,0,0
밀겨울,기준은,3,2,-1,0,0,0
가마깨비,한식,1,1,0,0,0,33000
혼삼,한식,1,1,0,0,0,15000
마신떡볶이,분식,2,2,0,0,0,22000
팔공냉면,한식,10,12,2,447000,54633,2200000
맘맘테이블,기타외국식,2,2,0,0,0,49500
대만샌드위치 티앙웨이,제과제빵,1,0,-1,0,0,26400
레드애플,커피,9,8,-1,0,0,29700
삼꾸미집,(,2,1,-1,0,0,0
투다리,기타외식,129,129,0,243095,17955,74330
부곡하와이,주점,0,1,1,0,0,1870000
고래냉면1980,한식,1,1,0,0,0,41800
진도리 닭도리탕,한식,1,1,0,0,0,59400
전준수명품청기와감자탕,기타외식,14,14,0,714574,20807,88000
강순자옛맛김치찌개,강순자옛맛김치찌개,10,12,2,307906,21221,15200
ALI★TOGO★STAR(알리투고스타)커피,커피,0,1,1,0,0,27500
소도둑,한식,5,6,1,795571,20399,88000
연꽃치,(,0,2,2,0,0,0
김밥천국,분식,9,9,0,0,0,13200
조선밥도둑,한식,0,2,2,0,0,402021
약초마을,약초마을,5,6,1,708074,6211,0
오술차,한식,11,8,-3,279272,10879,24750
텐바이텐,기타도소매,1,1,0,0,0,68750
홍초불닭발&막창,(주요,1,3,2,0,0,13200
국제쭈꾸미1981,한식,1,0,-1,0,0,32450
불로만치킨바베큐,치킨,2,2,0,0,0,0
쏘핫 마라탕 마라샹궈,중식,4,4,0,0,0,16500
시아북카페,커피,1,1,0,0,0,0
명랑회관,기타외식,2,2,0,0,0,0
도톰카츠,(,1,2,1,0,0,0
리메이드,(,1,1,0,0,0,0
혼삼,한식,1,1,0,0,0,15000
희귀한족발,(주요,0,4,4,0,0,11000
뚱뚱이할머니족발보쌈,주요상품,2,2,0,0,0,0
막돼먹은막창,(,2,2,0,0,0,22000
무국식탁편백집,(,5,5,0,0,0,37400
헬로우컷,이미용,15,14,-1,0,0,0
순살치킨을잘튀기는집,치킨,0,3,3,0,0,58300
한강텐트대여 피크닉109,한강텐트대여,5,6,1,25102,922,0
도쿄팡야,제과,3,2,-1,0,0,0
스팀맨,기타서비스,6,9,3,7506,453,16500000
진지덮밥&돈가스,(,1,1,0,0,0,0
탕비비탕후루,기타외식,0,1,1,0,0,44000
회덮밥전문점인마루,회∙덮밥전문점,5,5,0,0,0,33000
맛없으면 환불해주는 김치찜,한식,0,3,3,0,0,30800
바른찌개밀키트,(,4,1,-3,0,0,0
베지잇,기타외식,1,2,1,0,0,25000
수원왕갈비통닭,수원왕갈비통닭,4,1,-3,0,0,10560
윤이불닭발,기타외식,21,21,0,363916,29358,0
라라라서프,라라라서프,3,3,0,0,0,24530
이마트에브리데이,편의점,62,64,2,0,0,16296
공씨네주먹밥,(,7,5,-2,23822,4441,0
김봉남포장마차,주점,11,7,-4,326145,13235,35200
드래곤스퀘어디트로이트피자,피자,0,1,1,0,0,0
짬뽕순두부,(,0,1,1,0,0,0
호수꼬치,한식,2,3,1,0,0,23760
악마의비빔밥비빌,한식,0,1,1,0,0,0
굽는치킨,치킨,1,0,-1,0,0,0
순수치킨,기타외식,13,13,0,221260,15543,19800
Uber Taxi (우버택시),운송,2579,3772,1193,20379,0,0
꼭그닭치킨,치킨,2,2,0,0,0,20160204
알리바바(ALIBABA),커피,3,3,0,0,0,26400
키즈베베,의류/패션,0,1,1,0,0,11000
꾸이덮밥잘하는집,한식,0,4,4,0,0,58300
맛쭈서해쭈꾸미,기타외식,6,6,0,359255,9782,42900
뿌기떡볶이,분식,1,3,2,0,0,22000
3분마트,기타,1,2,1,0,0,16500
진고래아구찜해물찜,한식,4,2,-2,0,0,29600
필랜드 예술원,기타,2,2,0,0,0,44000
재능스스로러닝센터,교육(교과),6,6,0,6974,190,0
렌즈나인(LENS NINE),(,3,3,0,0,0,0
갓츠킹,(,9,5,-4,70139,7388,0
카툰공감,(,3,2,-1,0,0,4120160001301
홍담동홍게우동집,기타,2,2,0,0,0,0
더볶이,분식,0,1,1,0,0,13200
골든스터디카페,기타서비스,2,2,0,0,0,154000
토고리 옛날막창,(주요,4,3,-1,0,0,46750
플라이번지 피트니스,스포츠관련,0,3,3,0,0,99000
마이쥬스,음료(커피,8,7,-1,178096,9572,0
바다생협,(,11,11,0,0,0,0
링스보스턴,커피,1,1,0,0,0,47300
타코로,기타외식,0,1,1,0,0,16500
무니(muni),주점,1,1,0,0,0,39600
더맛닭,(,1,1,0,0,0,0
아이스헌터,(주요상품),0,1,1,0,0,0
홍희통닭,한식,2,4,2,0,0,17600
낚시꾼 김춘복의 도시어부,(,1,2,1,0,0,0
아리아(ARIA)센터,스포츠,12,12,0,184446,3134,71500
아트필라테스(ARTPILATES),스포츠관련,4,4,0,0,0,55000
토즈(TOZ),기타서비스,17,13,-4,297096,2276,0
지니위니,(,2,2,0,0,0,0
더샘(the SAEM),화장품,30,29,-1,1074063,87191,80000
포25(PHO25),(,2,2,0,0,0,0
더피터커피,커피,1,1,0,0,0,44000
청담족발,한식,0,2,2,0,0,24000
박공헤어,기준은,10,10,0,283847934,11426075,66000000
평래옥,한식,1,1,0,0,0,66000
공브라더스,스포츠관련,4,4,0,0,0,100000
옵티마,"건강식품,",233,235,2,0,0,0
한가네숯불닭갈비,기타,6,6,0,451840,18991,133320
김치볶음밥잘볶는집,한식,0,7,7,90224,9204,58300
아로마갤러리,기타도소매,1,1,0,0,0,4020110043115
PLAIN BRAND(플레인브랜드),기타도소매,1,1,0,0,0,55000
국밥집 막내아들,한식,0,1,1,0,0,49500
카페 오디디오,커피,1,1,0,0,0,33000
카페희다,커피,13,10,-3,264829,10061,0
홍익궁중전통육개장,(,3,4,1,0,0,0
예술치킨(artchicken),치킨,0,1,1,0,0,0
롯데마켓999(LOTTE market999),종합소매점,42,42,0,0,0,0
해골피자(HAEGOAL PIZZA),피자,4,3,-1,0,0,0
피자베이,피자,2,0,-2,0,0,0
좋은습관 PT STUDIO,스포츠,3,7,4,0,0,88000
